SessionID,Category,Grammar_Element,HighLevelObject,FileType,Total_Object_Count,Count_Converted_LOC,Count_Not_Converted_LOC,Count_Conversion_Errors,Count_Parsing_Errors
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Arithmetic Operators and Functions,*,CREATE FUNCTION,SQL,1,0,1,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Arithmetic Operators and Functions,/,CREATE FUNCTION,SQL,1,1,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Comparison Operators and Functions,=,CREATE / REPLACE VIEW,SQL,5,5,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Comparison Operators and Functions,=,CREATE FUNCTION,SQL,3,3,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Manipulation Language Statements,ACCESS,CREATE / REPLACE VIEW,SQL,2,0,2,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Type,BYTEINT,CREATE MACRO,SQL,1,1,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Manipulation Language Statements,CALL,CREATE / REPLACE PROCEDURE,SQL,4,4,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Case Expressions,CASE,CREATE / REPLACE VIEW,SQL,3,17,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Case Expressions,CASE,CREATE FUNCTION,SQL,1,10,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Definition Statements,CHECKSUM,CREATE JOIN INDEX,SQL,1,1,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Function,COALESCE,CREATE / REPLACE PROCEDURE,SQL,1,1,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Procedure statements,CREATE / REPLACE PROCEDURE,CREATE / REPLACE PROCEDURE,SQL,3,18,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Definition Statements,CREATE / REPLACE VIEW,CREATE / REPLACE VIEW,SQL,2,14,13,3,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Function statements,CREATE FUNCTION,CREATE FUNCTION,SQL,2,23,1,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Definition Statements,CREATE JOIN INDEX,CREATE JOIN INDEX,SQL,1,3,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Definition Statements,CREATE MACRO,CREATE MACRO,SQL,1,13,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Table Statements,CREATE TABLE,CREATE TABLE,SQL,3,17,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Type,DATE,CREATE MACRO,SQL,1,0,1,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Definition Statements,DEFAULT (CLAUSE),CREATE MACRO,SQL,1,1,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Manipulation Language Statements,DESC,CREATE / REPLACE VIEW,SQL,2,0,2,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Function,END,CREATE FUNCTION,SQL,1,1,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Attribute Functions,FORMAT,CREATE MACRO,SQL,1,0,1,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,"SELECT statement syntax, options, clauses, modifiers",FROM,CREATE JOIN INDEX,SQL,1,1,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,"SELECT statement syntax, options, clauses, modifiers",FROM,CREATE / REPLACE VIEW,SQL,2,2,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Manipulation Language Statement,INSERT,CREATE MACRO,SQL,1,2,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Type,INTEGER,CREATE TABLE,SQL,3,3,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Type,INTEGER,CREATE MACRO,SQL,2,2,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Type,INTEGER,CREATE FUNCTION,SQL,3,3,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Manipulation Language Statements,LOCK TABLE,CREATE / REPLACE VIEW,SQL,2,3,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Aggregate Functions,MAX,CREATE / REPLACE VIEW,SQL,2,10,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Definition Statements,NO AFTER JOURNAL,CREATE TABLE,SQL,1,1,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Definition Statements,NO BEFORE JOURNAL,CREATE TABLE,SQL,1,1,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Definition Statements,NO FALLBACK,CREATE JOIN INDEX,SQL,1,1,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Definition Statements,NO FALLBACK,CREATE TABLE,SQL,1,1,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Definition Statements,NOT NULL,CREATE TABLE,SQL,3,3,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Type,PERIOD,CREATE FUNCTION,SQL,2,2,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Definition Statements,PRIMARY INDEX,CREATE JOIN INDEX,SQL,1,0,1,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Definition Statements,PRIMARY INDEX,CREATE TABLE,SQL,2,0,2,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Function,PRIOR,CREATE FUNCTION,SQL,1,0,2,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,"SELECT statement syntax, options, clauses, modifiers",SELECT,CREATE JOIN INDEX,SQL,1,1,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Manipulation Language Statement,SELECT,CREATE MACRO,SQL,1,3,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,"SELECT statement syntax, options, clauses, modifiers",SELECT,CREATE / REPLACE VIEW,SQL,2,24,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Procedure Statements,SET,CREATE / REPLACE PROCEDURE,SQL,2,2,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Uncategorized,SqlExprAlias,CREATE / REPLACE VIEW,SQL,3,0,13,3,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Uncategorized,SqlIfStatement,CREATE / REPLACE PROCEDURE,SQL,1,5,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Uncategorized,TdReplaceViewStart,CREATE / REPLACE VIEW,SQL,2,0,2,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,Data Type,TIME WITH TIME ZONE,CREATE FUNCTION,SQL,2,2,0,0,0
37304f2a-4135-4e38-ac07-3fe3bb6a3abe,"SELECT statement syntax, options, clauses, modifiers",WHERE,CREATE / REPLACE VIEW,SQL,1,1,0,0,0
